"代碼","代碼意義","英文說明"
"DCG*","公錢","Decagram (Dekagram)"
"DEL*","公斗","Decaliter (Dekameter)"
"DKM*","公丈","Decameter (Dekameter)"
"DAS*","十立方公尺","Decastere (Dekastere)"
"DGM*","公糎（十分之一公克）","Decigram"
"DLT","公合","Deciliter"
"DMT","公寸","Decimeter"
"DMK","平方公寸 （日本皮革面積單位）","Square Decimeter"
"DSC*","盤","Disc(Disk)"
"DOS*","一劑","Dose"
"DFT*","木材材積單位","Doyle Foot"
"DZN","一打","Dozen"
"DPR","雙／打","Dozen Pairs"
"DST*","套／打","Dozen Set"
"DRM","打蘭（重量名 , 3.887935克）","Drachm (UK)( 3.887935 g)"
"DRU*","桶","Drum"
"BLD","乾桶的份量（ 115.627立方公寸）","Dry Barrel (US)( 1.15627 x 10-1 m³)"
"DBK*","乾散裝櫃","Dry Bulk"
"KGD*","乾公斤","Dry Kilogram"
"LBD*","乾磅","Dry Pound"
"TND*","乾公噸","Dry Metric Ton"
"EAC*","每個","Each"
"ENV*","包 , 袋","Envelop"
"FIB*","箱","Fiberite"
"OZA","英美液量 , 容量單位（ 29.5735立方公分）","Fluid Ounce (US) (2.957353 x 10-5 m³)"
"OZI","英美液量 , 容量單位（ 28.413 立方公分）","Fluid Ounce (UK) (2.841306 x 10-5 m³)"
"FOT","呎","Foot"
"FRM*","框 , 架子 , 套","Frame"
"FUT*","一呎（俄國長度單位）","Fut"
"GLI","加侖","Gallon (UK)(4.546092 x 10-3 m³)"
"GRN","個 , 顆 , 喱（衡量的 最小單位 64.8 亳克）,真珠的重量單位（ 50 亳克或 1/4 克拉）","Grain(64.798 91 x 10-6 kg)"
"GRM","公克","Gram(Gramme)"
"GMA*","每公克之活性效用（抗生素單位）","Gram/Active"
"GGR","大籮 , 十二籮","Great Gross(12 Gross)"
"GRO","籮 , 十二打","Gross"
"GRY*","碼／籮","Gross Yard"
"HMP*","籃","Hamper"
"HAN*","束 , 捲","Hank"
"HED*","頭","Head"
"HDS*","腸衣單位","Head Set"
"HGM","公兩","Hectogram"
"HLT","公石","Hectoliter"
"HMT","公引","Hectometer"
"HHD*","英美容量單位（英：52.5 加侖 , 美： 63","Hogshead"
"HPT*","木材材積單位","Hoppus Ton"
"HUB*","輪軸 , 捲（錄音帶單 位）","Hub"
"HBX","百箱","Hundred Boxes"
"DTN","百公斤（ 100公斤）","Quintal, Metric (100 kg)"
"HPC*","百個","Hundred Pieces"
"HLB*","百磅","Hundred Pounds"
"HST*","百套","Hundred Sets"
"HSH*","百張 , 百片","Hundred Sheets"
"HSK*","百支（紙菸單位）","Hundred Sticks"
"CWA","擔","Hundred pounds (cwt) / Hundredweight (US) (45.3592 kg)"
"INH","吋","Inch"
"IGT*","錠 , 條 , 塊","Ingot"
"JAR*","罐 , 瓶","Jar"
"KEG*","小桶（容量通常在十加 侖以下）","Keg"
"KGM","公斤","Kilogram"
"KGW*","以重量計算每公斤之價格（抗生素單位）","Kilogram weight"
"KGA*","每公斤活性效用（抗生 素單位）","Kilogram/Active"
"KLT*","公秉","Kiloliter"
"KMT","一千公尺 , 一公里","Kilometer"
"KTN","千公噸","Kiloton"
"KVA","千伏安","Kilovolt - Ampere"
"KIT*","套 , 組","Kit"
"KOK*","木材 材積 單位 （ 100 才）","Koku"
"LFT*","一次搬起或運起之量","Lift"
"LVN*","搬運量單位","Lift Van"
"LIN*","英 國 長 度 單 位（ 1/12" ）","Line"
"LNG*","錠、條、塊（指金屬而言）","Lingots"
"LNK*","節 , 環","Link"
"LBK*","（液體貨物）散裝櫃","Liquid Bulk"
"LTR","公升","Liter"
"LOG*","圓木","Log"
"LTN","長噸","Ton (UK) or Long Ton (US)( 1.016047 x 10³ kg)"
"LOT*","一堆 , 一批","Lot"
"LUG*","簍","Lug"
"MTR","公尺","Meter(Metre)"
"CTM","克拉（寶石單位）","Metric Carat(200 mg)"
"TNE","公噸","Tonne (Metric Ton)"
"MLD","（英）十億","Milliard"
"MGM","公絲","Milligram"
"MLT","公撮","Milliliter"
"MMT","公釐","Millimeter"
"MIU","百萬國際單位","Million International Units"
"MLU*","百萬單位","Million Unit"
"MUS*","百萬單位酵素","Million Unit Strepto Kinase(MUSK)"
"MOM*","珊瑚計量單位","Momme"
"MYG*","公衡","Myrlagram"
"NDR*","新桶","New Condition Drun"
"NIU","國際單位","Number of International Units"
"NPR","雙（數量）","Number of Pairs"
"NUT*","個、粒、顆","Nut"
"ONZ","英兩 , 盎斯（ 28.349523公克）","Ounce(2.834952 x 10-2 kg)"
"APZ","英兩 , 盎斯 （用於金量、藥量時為 31.10348 公克）","Ounce GB, US (31.103548g)"
"OUT*","筒","Outer"
"PAC*","包 , 綑 , 副 , 組","Pack"
"PKG*","件 , 包","Package"
"PKT*","小包 , 捆","Packet"
"PAL*","桶","Pail"
"PST*","套／雙","Pair Set"
"PLT*","墊板 , 金屬或木材之低臺","Pallet"
"PCK*","個 , 捲（錄音帶單位）","Pancake"
"PNL*","板","Panel"
"PCL*","包 , 裹","Parcel"
"PIC*","擔（ 100斤）","Picul"
"PCE","個 , 片 , 塊 , 段 , 枝","Piece"
"PTI","品脫","Pint (5. 68261 x 10-4 m³)"
"PLN*","棵","Plant"
"PLA*","板 , 片","Plate"
"POT*","瓶 , 壺","Pot"
"POL*","塑膠袋","Polybags"
"LBR","磅","Pound(0.45359237 kg)"
"QTI","夸爾（液量單位）","Quart (UK) (1.1365225 x 10-3 m³)"
"QTR","夸 特 （ 英 重 量 單 位 12.700586kg ）","Quarter (UK) (12.700586 kg)"
"DTN","公 擔 （ 公 制 ： 100 公斤）","Quintal, Metric(102 kg)"
"QUI*","刀（紙張數量單位）","Quire"
"RAC*","架（網架、槍架、刀、帽子架等）","Rack"
"REM*","令（紙張數量單位）","Ream"
"RDR*","舊桶","Reconditioned Drum"
"REL*","捲 , 軸","Reel"
"RIN*","環 , 圈","Ring"
"ROD*","支 , 竿 , 棒 , 桿","Rod"
"ROL*","捲","Roll"
"RUN*","腸衣單位","Runner"
"SAC*","小袋","Sachet"
"SAK*","包 , 袋","Sack"
"SEG*","節 , 片","Segment"
"SET","組 , 套","Set"
"SHE*","張 , 片","Sheet"
"STN","短噸","Ton (US) or Short Ton (UK/US) (0.9071847 x 10³ kg)"
"SKD*","墊板 , 件","Skid"
"SKN*","張","Skin"
"SLA*","板 , 片","Slab"
"SPL*","捲 , 軸","Spool"
"CMK","平方公分","Square Centimeter"
"DMK","平方公寸","Square Decimeter"
"FTK","平方呎","Square Foot"
"INK","平方吋","Square Inch"
"MTK","平方公尺","Square Meter"
"YDK","平方碼","Square Yard"
"STA*","一堆","Stack"
"STC*","標準箱","Standard Cases"
"STK*","支","Stick"
"STR*","一串 , 一連 , 一列 , 一隊","String"
"STP*","片 , 條","Strip"
"SUT*","一套 , 一副","Suit"
"SYR*","注射器","Syringe"
"TAB*","錠 , 片","Tablet"
"TAL*","尾 , 條","Tail"
"TNK*","桶","Tank"
"TML*","一萬","Ten Thousand"
"TKG*","十公斤","Ten Kilogram"
"MBF","木材材積單位","Thousond Board Feet"
"KFT*","一千呎","Thousand Foot"
"KLF*","千呎","Thousand Linear Feet"
"KPC*","千個","Thousand Pieces"
"KLB*","一千磅","Thousand Pounds"
"KST*","千套","Thousand Sets"
"KSI*","千平方吋","Thousand Square Inch"
"KSM*","千平方公尺","Thousand Square Meter"
"KSK*","千支（紙菸單位）","Thousand Sticks"
"TIN*","聽 , 罐","Tin"
"TNE","噸","Tonne (103 kg)"
"TBN*","箱","Tote Bin"
"TRA*","盤 , 碟","Tray"
"TSB*","坪","Tsubo"
"TBE*","支 , 管 , 筒","Tube"
"TRK*","捆 , 束（鋼條計量單位）","Trunk"
"UGA*","美國加侖","U.S Gallon"
"UNT*","單 位 , 部 , 輛 （ 車輛）","Unit"
"VAN*","件（大木箱）","Van"
"VPK*","包裝箱數量單位","Van Pack"
"VAT*","大桶","Vat"
"VSL*","壺 , 瓶 , 桶 , 艘（船舶）","Vessel"
"VIA*","小玻璃瓶","Vial"
"VOL*","冊 , 卷","Volume"
"WEB*","捲（錄音帶單位）","Web"
"WDC*","木箱","Wooden Case"
"YRD","碼","Yard"
"ACR","英畝","Acre (4,046.856 m²)"
"ASM","質量酒精強度","Alcoholic Strength by Mass"
"ASV","體積酒精強度","Alcoholic Strength by Volume"
"AMP","安培","Ampere"
"AMH","安培小時","Ampere Hour (3.6 kC)"
"ARE","公畝","Are (100 m2)"
"BAR","巴","Bar(unit of pressure)"
"BQL","貝可","Becquerel"
"BHP","制動馬力","Brake Horse Power (245.7watts)"
"BTU","英制熱量單位","British Thermal Unit (1.055 kilojoules)"
"CDL","燭光","Candela"
"CCT","每公頓攜帶能量","Carrying Capacity in Metric Tonnes"
"CNT","英制百磅","Cental GB (45.359237 kg)"
"WCD","索","Cord (3.63 m3)"
"COU","庫侖","Coulomb"
"CKG","每公斤庫侖","Coulomb Per Kilogram"
"MQH","每小時立方公尺","Cubic Metre Per Hour"
"MQS","每秒立方公尺","Cubic Metre Per Second"
"MMQ","立方毫米","Cubic Millimetre"
"DAY","日","Day"
"DEC","十年","Decade"
"DAA","法國制土地丈量單位","Decare"
"DTN","100公斤","Decitonne"
"CEL","攝氏溫度","Degree Celsius"
"FAH","華氏溫度","Degree Fahrenheit"
"KEL","絕對溫度","Degree Kelvin: See Kelvin"
"DPT","排水量","Displacement Tonnage"
"DZP","一打包裝","Dozen Packs"
"DPC","一打片裝","Dozen Pieces"
"DRL","一打捲筒","Dozen Rolls"
"DRI","英制打蘭","Dram GB (1.771745 g)"
"DRA","美制打蘭","Dram US (3.887935 g)"
"GLD","乾燥加侖","Dry Gallon (4.404884 x 10-3 m³)"
"PTD","乾燥品脫","Dry Pint (5.506105 x 10-4 m³)"
"QTD","乾燥夸脫","Dry Quart (1.101221 x 10-3 m3)"
"FAR","法拉","Farad"
"GBQ","十億貝可","Gigabecquerel"
"GWH","十億瓦 - 小時","Gigawatt-hour (109 W x h)"
"GII","英制基爾","Gill GB (0.142065 dm3)"
"GIA","美制基爾","Gill US (11.8294 cm3)"
"GFI","易碎同位素公克","Gram of Fissile Isotopes"
"GRT","總體登記公噸","Gross Register Ton"
"SAN","半年","Half Year"
"HAR","公頃","Hectare"
"HBA","百巴","Hectobar"
"DTH","百公斤","Hectokilogram"
"HPA","純酒百公升","Hectolitre of Pure Alcohol"
"HTZ","赫茲","Hertz"
"HUR","小時","Hour"
"CEN","百","Hundred"
"HIU","百國際單位","Hundred International Units"
"CLF","百張","Hundred Leaves"
"CNP","百包","Hundred Packs"
"JOU","焦耳","Joule"
"KEL","凱","Kelvin"
"KBA","千巴","Kilobar"
"KPH","腐蝕性碳酸鉀公斤","Kilogram of Caustic Potash"
"KSH","腐蝕性蘇打公斤","Kilogram of Caustic Soda"
"KNS","指定物質公斤","Kilogram Named Substance"
"KNI","氮氣公斤","Kilogram of Nitrogen"
"KPP","五氧化二磷公斤","Kilogram of Phosphorus Pentoxide(Phosphoric Anhydride)"
"KPH","氫氧化鉀公斤","Kilogram of Potassium Hydroxide(Caustic Potash)"
"KPO","氧化鉀公斤","Kilogram of Potassium Oxide"
"KSH","氫氧化納公斤","Kilogram of Sodium Hydroxide(Caustic Soda)"
"KSD","90% 乾燥物質公斤","Kilogram of Substance 90% Dry"
"KUR","鈾公斤","Kilogram of Uranium"
"KMQ","每立方公尺公斤","Kilogram Per Cubic Meter"
"KGS","每秒公斤","Kilogram Per Second"
"KHZ","千赫","Kilohertz"
"KJO","千焦耳","Kilojoule"
"KMH","每小時公里","Kilometre Per Hour"
"KPA","千巴斯卡","Kilopascal"
"KVR","千無效功率","Kilovar"
"KVT","千伏特","Kilovolt"
"KWT","千瓦","Kilowatt"
"KWH","千瓦小時","Kilowatt Hour"
"KNT","結","Knot"
"LEF","張","Leaf"
"GLL","液體加侖","Liquid Gallon (3.785412 x 10-3 m3)"
"PTL","液體品脫","Liquid Pint (0.4731765dm3)"
"QTL","液體夸脫","Liquid Quart (0.946353dm3)"
"LPA","純酒公升","Litre of Pure Alcohol"
"CWI","英擔 ","(Long) Hundredweight GB (50.80235 kg)"
"LUM","流明","Lumen"
"LUX","勒克斯","Lux"
"MHZ","百萬赫","Megahertz"
"MAL","百萬公升","Megalitre"
"MAM","百萬公尺","Megametre"
"MPA","百萬巴斯卡","Megapascal"
"MVA","百萬伏特安培","Megavolt-ampere (106 V x A)"
"MAW","百萬瓦","Megawatt"
"MWH","百萬瓦小時","Megawatt hour (106 W x h)"
"MTS","每秒公尺","Metre Per Second"
"MSK","每平方秒公尺","Metre Per Second Squared"
"MBR","千分之一巴","Millibar"
"MCU","千分之一居里","Millicurie"
"MIO","百萬","Million"
"HMQ","百萬立方公尺","Million Cubic Metres"
"MIN","分","Minute"
"MON","月","Month"
"NMI","海哩","Nautical Mile (1852 m)"
"NTT","淨註冊公噸","NET Register Ton"
"NEW","牛頓","Newton"
"NMB","數量","Number"
"NAR","物品數量","Number of Articles"
"NBB","線軸數量","Number of Bobbins"
"NCL","細胞數量","Number of Cells"
"NMP","包裝數量","Number of Packs"
"NPR","成對數量","Number of Pairs"
"NPL","包裹數量","Number of Parcels"
"NPT","零件數量","Number of Parts"
"NRL","捲狀物數量","Number of Rolls"
"OHM","歐姆","Ohm"
"PAL","巴斯卡","Pascal"
"DWT","英國重量單位","Pennyweight GB, US (1.555174 g)"
"PGL","標準加侖","Proof Gallon"
"QAN","季","Quarter of a year"
"RPM","每分旋轉次數","Revolution Per Minute"
"RPS","每秒旋轉次數","Revolution Per Second"
"SCO","二十","Score"
"SCR","吩","Scruple GB, US (1.295982 g)"
"SEC","秒","Second"
"SHT","運輸噸","Shipping Ton"
"SST","短路標準","Short Standard (7200 matches)"
"STN","淨噸","Net Ton GB, US (0.9071847 x 10³ kg)"
"SIE","西門子","Siemens"
"KMK","平方公里","Square Kilometre"
"MIK","平方英哩","Square Mile"
"MMK","平方毫米","Squair Millimetre"
"WSD","標準","Standard"
"ATM","標準大氣壓","Standard Atmosphere(101,325Pa)"
"SMI","英哩","(Statute) Mile (1,609.344 m)"
"STI","英國重量單位","Stone GB (6.350293 kg)"
"ATT","技術單位系統中的絕對 壓力","Technical Atmosphere (98,066.5 Pa)"
"DAD","十天","Ten Day"
"TPR","十對","Ten Pair"
"MIL","千","Thousand"
"TAH","千安培小時","Kiloampere Hour (thousand ampere hour)"
"TQD","每天千立方公尺","Thousand Cubic Metres"
"Per","Day",""
"MBE","千標準磚等重","Thousand Standard Brick Equivalent"
"TSH","每小時蒸汽噸","Ton of Steam Per Hour"
"TSD","90% 物質公噸","Tonne of Substance 90 % Dry"
"TRL","百萬兆","Trillion (EUR)"
"BIL","兆","Trillion (US)"
"APZ","金衡制或藥材盎司","Troy Ounce or Apothecary Ounce"
"LBT","金衡制磅","Troy Pound, US (373.242 g)"
"VLT","伏特","Volt"
"WTT","瓦特","Watt"
"WHR","瓦特小時","Watt Hour"
"WEB","韋伯","Weber"
"WEE","星期","Week"
"ANN","年","Year"
"ZZZ","其他","Other Measurement (註)"
